住所１,店舗名,,"""2016""","""2017""","""2018""",,,,"""2016""","""2017""","""2018""",,
岡山県,新見,,172736,165798,162519,,,岡山県,1241295,1224520,1169514,,3635329
岡山県,総社,,131559,124218,117777,,,広島県,3581753,3581536,3437265,,10600554
岡山県,岡山東,,80713,84657,78433,,,山口県,1042448,1028448,984617,,3055513
岡山県,岡山北,,93806,87982,89385,,,鳥取県,717789,699636,676424,,2093849
岡山県,岡山中,,121604,128494,123196,,,島根県,701734,685790,657513,,2045037
岡山県,岡山中仙道,,161947,156342,146859,,,,,,,,
岡山県,美作,,92877,89432,87485,,,,,,,,
岡山県,倉敷,,125929,124146,119371,,,,,,,,
岡山県,瀬戸,,170287,174969,160570,,,,,,,,
岡山県,真庭,,89837,88482,83919,,,,,,,,
広島県,福山,,267015,260338,269416,,,,,,,,
広島県,呉,,317079,296525,294197,,,,,,,,
広島県,広島南,,317766,331192,302800,,,,,,,,
広島県,福山簑島,,329529,337131,328410,,,,,,,,
広島県,尾道,,331879,351885,333852,,,,,,,,
広島県,庄原,,205002,199870,193359,,,,,,,,
広島県,大竹,,285024,285953,262073,,,,,,,,
広島県,広島佐伯,,345756,343521,327673,,,,,,,,
広島県,福山沼隈,,199846,201105,194807,,,,,,,,
広島県,三次,,351483,350340,329170,,,,,,,,
広島県,広島五日市,,247127,241854,236861,,,,,,,,
広島県,江田島,,203149,201152,193954,,,,,,,,
広島県,安芸高田,,181098,180670,170693,,,,,,,,
山口県,下関,,145578,149022,135457,,,,,,,,
山口県,周南,,83351,85345,79762,,,,,,,,
山口県,山口,,127853,119465,117470,,,,,,,,
山口県,下関長府,,170050,163491,157245,,,,,,,,
山口県,美祢,,114310,111030,105637,,,,,,,,
山口県,下関本,,74439,73251,71494,,,,,,,,
山口県,長門,,138166,137476,132415,,,,,,,,
山口県,宇部,,73680,76317,75176,,,,,,,,
山口県,岩国,,115021,113051,109961,,,,,,,,
鳥取県,東伯,,120605,116424,115141,,,,,,,,
鳥取県,鳥取本,,56716,53674,53935,,,,,,,,
鳥取県,米子上福原,,121391,120083,118300,,,,,,,,
鳥取県,鳥取河原町,,56287,52794,52463,,,,,,,,
鳥取県,倉吉,,125381,118752,115783,,,,,,,,
鳥取県,米子西町,,111623,113954,103783,,,,,,,,
鳥取県,鳥取大覚寺,,125786,123955,117019,,,,,,,,
島根県,邑智,,83946,83231,79786,,,,,,,,
島根県,鹿足,,95372,92569,86487,,,,,,,,
島根県,松江島根,,53223,52914,52724,,,,,,,,
島根県,松江宍道,,92212,88388,82779,,,,,,,,
島根県,安来,,57904,55149,51846,,,,,,,,
島根県,益田,,56502,55148,56763,,,,,,,,
島根県,出雲,,73396,76626,73206,,,,,,,,
島根県,浜田,,74703,73942,72208,,,,,,,,
島根県,松江浜乃木,,114476,107823,101714,,,,,,,,
